"time (JD)" Vmag Verr
2458630.70681 15.367 0.017
2458651.39712 15.665 0.027999999999999997
2458651.39869 15.729000000000001 0.035
2458651.3994400003 15.65 0.025
2458651.4002099996 15.654000000000002 0.025
2458651.4009599998 15.67 0.025
2458651.40177 15.683 0.027000000000000003
2458651.40252 15.669 0.025
2458651.4032799997 15.655 0.023
2458651.40404 15.636 0.023
2458651.40485 15.640999999999998 0.023
2458651.40561 15.697000000000001 0.03
2458651.40637 15.665999999999999 0.022000000000000002
2458651.40712 15.669 0.024
2458651.40792 15.679 0.024
2458651.40868 15.67 0.021
2458651.40943 15.664000000000001 0.022000000000000002
2458651.4102 15.661 0.023
2458651.411 15.667 0.026000000000000002
2458651.41176 15.683 0.023
2458651.4125200002 15.66 0.026000000000000002
2458651.41329 15.633 0.021
2458651.41407 15.599 0.023
2458651.41484 15.607999999999999 0.021
2458651.4155900003 15.613 0.022000000000000002
2458651.41635 15.626 0.021
2458651.41714 15.591 0.024
2458651.41789 15.622 0.021
2458651.41865 15.628 0.021
2458651.4194099996 15.629000000000001 0.022000000000000002
2458651.42022 15.616 0.019
2458651.42098 15.661 0.023
2458651.42174 15.624 0.02
2458651.4225 15.624 0.023
2458651.4233 15.594000000000001 0.02
2458651.4240599996 15.583 0.026000000000000002
2458651.42483 15.600999999999999 0.02
2458651.42558 15.652999999999999 0.02
2458651.42642 15.636 0.018000000000000002
2458651.42718 15.627 0.019
2458651.4279400003 15.591 0.017
2458651.42869 15.652999999999999 0.017
2458651.4295 15.597999999999999 0.018000000000000002
2458651.43027 15.639000000000001 0.018000000000000002
2458651.43102 15.634 0.02
2458651.4317799998 15.59 0.017
2458651.43258 15.599 0.017
2458651.43334 15.607999999999999 0.016
2458651.43411 15.582 0.017
2458651.43486 15.585 0.017
2458651.43567 15.600999999999999 0.018000000000000002
2458651.43642 15.615 0.019
2458651.43718 15.615 0.017
2458651.43794 15.618 0.021
2458651.43873 15.588 0.018000000000000002
2458651.4394799997 15.585 0.019
2458651.4402400004 15.575 0.018000000000000002
2458651.44103 15.612 0.017
2458651.44184 15.574000000000002 0.018000000000000002
2458651.44259 15.623 0.016
2458651.44336 15.568 0.02
2458651.44411 15.610999999999999 0.017
2458651.44491 15.6 0.021
2458651.4456700003 15.61 0.018000000000000002
2458651.44644 15.623 0.019
2458651.4472 15.630999999999998 0.017
2458651.448 15.63 0.016
2458651.44876 15.630999999999998 0.018000000000000002
2458651.4495099997 15.655 0.018000000000000002
2458651.45028 15.632 0.019
2458651.45106 15.62 0.017
2458651.45183 15.623 0.02
2458651.4525900004 15.626 0.016
2458651.45334 15.616 0.019
2458651.4541599997 15.609000000000002 0.017
2458651.4561900003 15.597000000000001 0.016
2458651.45694 15.64 0.02
2458651.4577 15.585999999999999 0.016
2458651.4585 15.61 0.016
2458651.45925 15.615 0.017
2458651.46001 15.602 0.017
2458651.4607599997 15.594000000000001 0.017
2458651.4615599997 15.595999999999998 0.016
2458651.46231 15.579 0.017
2458651.46308 15.64 0.016
2458651.46383 15.619000000000002 0.018000000000000002
2458651.46463 15.638 0.015
2458651.46539 15.607999999999999 0.015
2458651.46615 15.634 0.017
2458651.4669 15.633 0.015
2458651.4684599997 15.639000000000001 0.015
2458651.46921 15.62 0.017
2458651.46997 15.642999999999999 0.016
2458651.47075 15.629000000000001 0.017
2458651.4715 15.628 0.016
2458651.4722700003 15.612 0.015
2458651.47302 15.612 0.015
2458651.47381 15.595 0.015
